,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
31,19600201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,19600202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,19600203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,19600204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,19600205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,19600206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,19600207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,19600208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,19600209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19600210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,19600211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,19600212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,19600213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,19600214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,19600215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,19600216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,19600217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,19600218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,19600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,19600220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,19600221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,19600222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,19600223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,19600224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,19600225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,19600226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19600227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,19600228,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
59,19600229,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
60,19600301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,19600302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,19600303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,19600304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,19600305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,19600306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,19600307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,19600308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,19600309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,19600310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,19600311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,19600312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,19600313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,19600314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,19600315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,19600316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,19600317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,19600318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,19600319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,19600320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,19600321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,19600322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,19600323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,19600324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,19600325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,19600326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,19600327,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,19600328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,19600329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,19600330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,19600331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,19600401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,19600402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,19600403,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
94,19600404,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,19600405,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
96,19600406,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
97,19600407,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
98,19600408,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
99,19600409,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
100,19600410,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,19600411,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
102,19600412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,19600413,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
104,19600414,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
105,19600415,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
106,19600416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,19600417,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
108,19600418,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
109,19600419,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
110,19600420,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0
111,19600421,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
112,19600422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,19600423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,19600424,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,19600425,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,19600426,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,19600427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
118,19600428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,19600429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,19600430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,19600501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,19600502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,19600503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
124,19600504,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
125,19600505,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0
126,19600506,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0
127,19600507,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0
128,19600508,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
129,19600509,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
130,19600510,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
131,19600511,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0
132,19600512,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
133,19600513,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
134,19600514,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0
135,19600515,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
136,19600516,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
137,19600517,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0
138,19600518,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1
139,19600519,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
140,19600520,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
141,19600521,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
142,19600522,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
143,19600523,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
144,19600524,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
145,19600525,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
146,19600526,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
147,19600527,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
148,19600528,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
149,19600529,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
150,19600530,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
151,19600531,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0
152,19600601,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0
153,19600602,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0
154,19600603,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1
155,19600604,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0
156,19600605,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
157,19600606,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0
158,19600607,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
159,19600608,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
160,19600609,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
161,19600610,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
162,19600611,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0
163,19600612,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
164,19600613,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
165,19600614,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
166,19600615,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0
167,19600616,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0
168,19600617,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
169,19600618,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
170,19600619,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1
171,19600620,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
172,19600621,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0
173,19600622,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
174,19600623,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
175,19600624,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1
176,19600625,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1
177,19600626,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
178,19600627,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
179,19600628,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
180,19600629,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
181,19600630,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
182,19600701,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
183,19600702,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1
184,19600703,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
185,19600704,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
186,19600705,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
187,19600706,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
188,19600707,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
189,19600708,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
190,19600709,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,19600710,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
192,19600711,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
193,19600712,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
194,19600713,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
195,19600714,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0
196,19600715,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
197,19600716,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0
198,19600717,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
199,19600718,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
200,19600719,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
201,19600720,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
202,19600721,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,19600722,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
204,19600723,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
205,19600724,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
206,19600725,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
207,19600726,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0
208,19600727,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
209,19600728,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,19600729,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
211,19600730,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0
212,19600731,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0
213,19600801,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
214,19600802,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
215,19600803,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0
216,19600804,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0
217,19600805,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1
218,19600806,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0
219,19600807,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0
220,19600808,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
221,19600809,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,19600810,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1
223,19600811,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
224,19600812,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
225,19600813,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
226,19600814,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
227,19600815,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
228,19600816,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0
229,19600817,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0
230,19600818,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
231,19600819,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0
232,19600820,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
233,19600821,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
234,19600822,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0
235,19600823,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
236,19600824,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1
237,19600825,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
238,19600826,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0
239,19600827,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1
240,19600828,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
241,19600829,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
242,19600830,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
243,19600831,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
244,19600901,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
245,19600902,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
246,19600903,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
247,19600904,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
248,19600905,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
249,19600906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
250,19600907,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
251,19600908,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0
252,19600909,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0
253,19600910,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
254,19600911,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
255,19600912,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
256,19600913,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
257,19600914,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
258,19600915,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
259,19600916,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
260,19600917,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
261,19600918,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0
262,19600919,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
263,19600920,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
264,19600921,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
265,19600922,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
266,19600923,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0
267,19600924,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
268,19600925,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
269,19600926,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
270,19600927,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
271,19600928,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
272,19600929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,19600930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,19601001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,19601002,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
276,19601003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
277,19601004,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
278,19601005,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
279,19601006,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
280,19601007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,19601008,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
282,19601009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
283,19601010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,19601011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,19601012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,19601013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,19601014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,19601015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,19601016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,19601017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,19601018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,19601019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,19601020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294,19601021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,19601022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,19601023,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
297,19601024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
298,19601025,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
299,19601026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300,19601027,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
301,19601028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,19601029,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
303,19601030,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
304,19601031,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
305,19601101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,19601102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,19601103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,19601104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
309,19601105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,19601106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,19601107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,19601108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,19601109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,19601110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,19601111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,19601112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,19601113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,19601114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,19601115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,19601116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,19601117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,19601118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,19601119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,19601120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,19601121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,19601122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,19601123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,19601124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,19601125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,19601126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,19601127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,19601128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,19601129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,19601130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,19601201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,19601202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,19601203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,19601204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,19601205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
340,19601206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,19601207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,19601208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,19601209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
344,19601210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,19601211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,19601212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,19601213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,19601214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,19601215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,19601216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,19601217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,19601218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,19601219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,19601220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,19601221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,19601222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,19601223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,19601224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,19601225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,19601226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,19601227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,19601228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,19601229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,19601230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,19601231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,19610101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,19610102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,19610103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,19610104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,19610105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,19610106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,19610107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,19610108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,19610109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
